rank,name,rating,reviews_count,price,url,asin
86,"HP Portable 13.8"" HD IPS Laptop, Intel Celeron N Processor Up to 2.78GHz, 4GB DDR4, 128GB SSD, HDMI, Webcam, Bluetooth, Windows 11, Pastel Blue(Renewed)",4.6,13,$162.99,https://www.amazon.com/dp/B0FN2Q1DJ4,B0FN2Q1DJ4
87,"HP Chromebook x360 11 G3 EE 11.6"" Touchscreen 2 in 1 Chromebook - Intel Celeron N4020-4GB - 32GB Flash Memory - Intel UHD Graphics 600 - Chrome OS (Renewed)",4.3,53,$92.95,https://www.amazon.com/dp/B0CLRT1X23,B0CLRT1X23
88,"Dell Latitude 5500 15.6"" Business Laptop - Intel 8th Gen Core i5-8365U up to 4.1GHz - 512GB SSD - 16GB RAM - CAM HDMI - Windows 11 Pro (Renewed)",4.1,22,$287.96,https://www.amazon.com/dp/B0DP2KGQTN,B0DP2KGQTN
89,"Dell Latitude 5520 Business Laptop 15.6"" HD, Intel i7-1165G7, 32GB RAM, 1TB NVMe SSD, Webcam, Backlit, AX Wi-Fi, Bluetooth, SD Card Reader, HDMI, USB Type-C Thunderbolt - Windows 11 Pro (RENEWED)",3.7,33,$575.00,https://www.amazon.com/dp/B0BNSLLB78,B0BNSLLB78
90,"Apple Mid 2017 MacBook Pro with 2.8GHz Intel Core i7, 15.4-inch, 16GB RAM, 256GB Space Gray (Renewed)",3.6,"1,011",$294.30,https://www.amazon.com/dp/B07K1KNH29,B07K1KNH29
91,"Dell Chromebook 3100 11.6"" HD, Celeron N4000 1.1GHz, 4GB RAM, 16GB Solid State Drive, Chrome OS 64Bit, CAM (Renewed)",4.3,174,$59.99,https://www.amazon.com/dp/B0BLTDRYS4,B0BLTDRYS4
92,"Dell Latitude 5400 Laptop, 14-inch HD Business Laptop, Core i5-8265U, 16 GB RAM, 256 GB SSD, USB Type-C, SD Card Reader, Windows 11 Pro (Renewed)",4.5,20,$220.60,https://www.amazon.com/dp/B0DWSGHXZ8,B0DWSGHXZ8
93,"acer Chromebook 315 CB315-4H-P8FZ 15.6"" Chromebook ComfyView | Intel Pentium Silver N6000 | 4GB RAM 128GB Flash Memory | ChromeOS | Pure Silver NX.AZ0AA.00A (Renewed)",,,$109.99,https://www.amazon.com/dp/B0FXYC5Z29,B0FXYC5Z29
94,"Apple 2024 MacBook Pro with Apple M4 Pro Chip (14-inch, 24GB RAM, 512GB SSD Storage) Space Black (Renewed)",4.9,24,"$1,599.00",https://www.amazon.com/dp/B0DRSWVTMN,B0DRSWVTMN
95,"HP 2025 Portable x360 Chromebook, 14'' Convertible FHD IPS Touchscreen, Intel Processor Up to 3.39GHz, 4GB DDR4, 64GB Storage, Super Fast 6th Gen WiFi, Chrome OS, Dale Blue (Renewed)",4.5,160,$224.99,https://www.amazon.com/dp/B0DM3VPXNL,B0DM3VPXNL
96,"Apple Late 2021 MacBook Pro with Apple M1 Pro chip 10-core CPU, 16-inch, 16GB RAM, 512GB SSD Storage, Space Gray (Renewed Premium)",4.3,62,$839.00,https://www.amazon.com/dp/B0C8GNPF42,B0C8GNPF42
97,"HP EliteBook 840 G8 14"", Intel Core i5-1145G7, 16GB RAM, 256GB SSD (Renewed)",3.5,29,$242.44,https://www.amazon.com/dp/B0B6Q345MZ,B0B6Q345MZ
98,"Dell Latitude 7430 14"" Laptop (Latest Latitude 2023) Intel 12th Gen Core i7-1265U(10-Core) 512GB SSD 32GB RAM Full HD Touch (1920x1080) Windows 11 PRO (Renewed)",4.4,46,$569.00,https://www.amazon.com/dp/B0CB6T253K,B0CB6T253K
99,"Panasonic Toughbook CF-33 MK1, Rugged 2-in-1, Intel Core i5-7300U up to 3.5GHz, 12-inch QHD Touchscreen + Digitizer, 8GB RAM, 256GB SSD, 4G LTE, Premium Keyboard, Windows 11 Pro, Silver (Renewed)",3.9,42,$404.99,https://www.amazon.com/dp/B0DBMX259B,B0DBMX259B
100,"Acer Chromebook 11 C732-C6WU 11.6"" LCD Chromebook - Intel Celeron N3350 Dual-core (2 Core) 1.10 GHz - 4 GB LPDDR4-32 GB Flash (Renewed)",4.1,267,$52.99,https://www.amazon.com/dp/B07MQ6Q67J,B07MQ6Q67J
